Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS005 - DDT,Windows - Chrome 120.0.0.0,,,31-01-2024 16:57:03,31-01-2024 17:23:04,26m - 0.262s,FAILED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 120.0.0.0,,,31-01-2024 16:57:04,31-01-2024 16:58:16,1m - 12.140s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 16:57:04,31-01-2024 16:57:57,52.483s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 16:57:57,31-01-2024 16:58:02,5.336s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 16:58:02,31-01-2024 16:58:03,1.007s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Class_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 16:58:03,31-01-2024 16:58:09,6.136s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 16:58:09,31-01-2024 16:58:12,2.900s,PASSED
closeBrowser(),Windows - Chrome 120.0.0.0,,,31-01-2024 16:58:12,31-01-2024 16:58:16,3.801s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 120.0.0.0,,,31-01-2024 16:58:16,31-01-2024 17:00:01,1m - 45.225s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 16:58:16,31-01-2024 16:59:08,52.563s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 16:59:08,31-01-2024 16:59:47,38.633s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 16:59:47,31-01-2024 16:59:48,1.018s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Class_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 16:59:48,31-01-2024 16:59:55,6.570s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 16:59:55,31-01-2024 16:59:57,2.725s,PASSED
closeBrowser(),Windows - Chrome 120.0.0.0,,,31-01-2024 16:59:57,31-01-2024 17:00:01,3.700s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 120.0.0.0,,,31-01-2024 17:00:01,31-01-2024 17:01:24,1m - 22.879s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:00:01,31-01-2024 17:01:02,1m - 1.171s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:01:02,31-01-2024 17:01:10,7.799s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 17:01:10,31-01-2024 17:01:11,1.004s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Class_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:01:11,31-01-2024 17:01:17,5.721s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 17:01:17,31-01-2024 17:01:21,4.142s,PASSED
closeBrowser(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:01:21,31-01-2024 17:01:24,3.026s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 120.0.0.0,,,31-01-2024 17:01:24,31-01-2024 17:02:36,1m - 12.591s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:01:24,31-01-2024 17:02:17,52.662s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:02:17,31-01-2024 17:02:23,6.147s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 17:02:23,31-01-2024 17:02:24,1.004s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Class_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:02:24,31-01-2024 17:02:31,7.517s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 17:02:31,31-01-2024 17:02:35,3.418s,PASSED
closeBrowser(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:02:35,31-01-2024 17:02:36,1.830s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 120.0.0.0,,,31-01-2024 17:02:36,31-01-2024 17:03:47,1m - 10.627s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:02:36,31-01-2024 17:03:24,47.150s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:03:24,31-01-2024 17:03:31,7.662s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 17:03:31,31-01-2024 17:03:32,1.015s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Class_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:03:32,31-01-2024 17:03:39,6.282s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 17:03:39,31-01-2024 17:03:43,4.669s,PASSED
closeBrowser(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:03:43,31-01-2024 17:03:47,3.832s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 120.0.0.0,,,31-01-2024 17:03:47,31-01-2024 17:05:28,1m - 40.832s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:03:47,31-01-2024 17:04:36,49.187s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:04:36,31-01-2024 17:05:11,34.512s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 17:05:11,31-01-2024 17:05:12,1.005s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Class_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:05:12,31-01-2024 17:05:22,9.687s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 17:05:22,31-01-2024 17:05:25,3.846s,PASSED
closeBrowser(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:05:25,31-01-2024 17:05:28,2.570s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Windows - Chrome 120.0.0.0,,,31-01-2024 17:05:28,31-01-2024 17:06:38,1m - 10.279s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:05:28,31-01-2024 17:06:18,49.771s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:06:18,31-01-2024 17:06:25,7.265s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 17:06:25,31-01-2024 17:06:26,1.016s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Class_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:06:26,31-01-2024 17:06:33,6.671s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 17:06:33,31-01-2024 17:06:35,2.613s,PASSED
closeBrowser(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:06:35,31-01-2024 17:06:38,2.930s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD002 - Meet the Companions,Windows - Chrome 120.0.0.0,,,31-01-2024 17:10:18,31-01-2024 17:11:37,1m - 18.525s,FAILED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:10:18,31-01-2024 17:11:10,51.557s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:11:10,31-01-2024 17:11:18,8.289s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 17:11:18,31-01-2024 17:11:19,1.003s,PASSED
"setText(findTestObject(""ESO/Page_Home/inputsearchBox""), Companion_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:11:19,31-01-2024 17:11:25,5.922s,PASSED
"sendKeys(findTestObject(""ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 17:11:25,31-01-2024 17:11:28,3.012s,PASSED
"verifyTextPresent(""MEET THE CHARACTER—"" + Companion_Name.toUpperCase(), false)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:11:28,31-01-2024 17:11:37,8.729s,FAILED
,,,,,,,
Test Cases/Data-Driven/DD002 - Meet the Companions,Windows - Chrome 120.0.0.0,,,31-01-2024 17:11:37,31-01-2024 17:13:15,1m - 37.833s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:11:37,31-01-2024 17:12:47,1m - 9.988s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:12:47,31-01-2024 17:12:56,9.469s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 17:12:56,31-01-2024 17:12:57,1.011s,PASSED
"setText(findTestObject(""ESO/Page_Home/inputsearchBox""), Companion_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:12:57,31-01-2024 17:13:04,7.059s,PASSED
"sendKeys(findTestObject(""ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 17:13:04,31-01-2024 17:13:07,2.971s,PASSED
"verifyTextPresent(""MEET THE CHARACTER—"" + Companion_Name.toUpperCase(), false)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:13:07,31-01-2024 17:13:13,6.040s,PASSED
closeBrowser(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:13:13,31-01-2024 17:13:15,1.271s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD002 - Meet the Companions,Windows - Chrome 120.0.0.0,,,31-01-2024 17:17:55,31-01-2024 17:19:16,1m - 20.396s,FAILED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:17:55,31-01-2024 17:18:49,53.792s,PASSED
helpers.Misc.OpenSearchBar(),Windows - Chrome 120.0.0.0,,,31-01-2024 17:18:49,31-01-2024 17:18:56,6.758s,PASSED
delay(1),Windows - Chrome 120.0.0.0,,,31-01-2024 17:18:56,31-01-2024 17:18:57,1.005s,PASSED
"setText(findTestObject(""ESO/Page_Home/inputsearchBox""), Companion_Name)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:18:57,31-01-2024 17:19:03,5.821s,PASSED
"sendKeys(findTestObject(""ESO/Page_Home/inputsearchBox""), Keys.chord(ENTER))",Windows - Chrome 120.0.0.0,,,31-01-2024 17:19:03,31-01-2024 17:19:06,2.866s,PASSED
"verifyTextPresent(""MEET THE CHARACTER—"" + Companion_Name.toUpperCase(), false)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:19:06,31-01-2024 17:19:16,10.144s,FAILED
,,,,,,,
Test Cases/Data-Driven/DD002 - Meet the Companions,Windows - Chrome 120.0.0.0,,,31-01-2024 17:19:16,31-01-2024 17:20:27,1m - 11.366s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Windows - Chrome 120.0.0.0,,,31-01-2024 17:19:16,31-01-2024 17:20:03,47.239s,PASSED
