Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS004 - Home,Chrome 120.0.0.0,,,29-01-2024 00:49:21,29-01-2024 00:49:48,26.444s,PASSED
,,,,,,,
Test Cases/ESO/Home Validation/H001 - Home Page,Chrome 120.0.0.0,,,29-01-2024 00:49:22,29-01-2024 00:49:34,12.298s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,29-01-2024 00:49:22,29-01-2024 00:49:31,9.380s,PASSED
"verifyElementVisible(findTestObject(""ESO/Page_Home/h2_LATEST NEWS""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,29-01-2024 00:49:31,29-01-2024 00:49:33,1.298s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Navigation Bar/a_This is ESO""), 0)",Chrome 120.0.0.0,,,29-01-2024 00:49:33,29-01-2024 00:49:33,0.311s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Navigation Bar/a_Classes""), 0)",Chrome 120.0.0.0,,,29-01-2024 00:49:33,29-01-2024 00:49:33,0.290s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Navigation Bar/a_UpdatesDLC""), 0)",Chrome 120.0.0.0,,,29-01-2024 00:49:33,29-01-2024 00:49:34,0.298s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Navigation Bar/a_Patch Notes""), 0)",Chrome 120.0.0.0,,,29-01-2024 00:49:34,29-01-2024 00:49:34,0.305s,PASSED
,,,,,,,
Test Cases/ESO/Home Validation/H002 - Return to Home,Chrome 120.0.0.0,,,29-01-2024 00:49:34,29-01-2024 00:49:48,13.952s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,29-01-2024 00:49:34,29-01-2024 00:49:41,7.194s,PASSED
headerBefore = getWindowTitle(),Chrome 120.0.0.0,,,29-01-2024 00:49:41,29-01-2024 00:49:41,0.020s,PASSED
"verifyMatch(headerBefore, HomeTitle, false)",Chrome 120.0.0.0,,,29-01-2024 00:49:41,29-01-2024 00:49:42,0.307s,PASSED
"callTestCase(findTestCase(""ESO/Home Validation/Buy Now Section/B001 - Buy Now Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,29-01-2024 00:49:42,29-01-2024 00:49:45,2.951s,PASSED
back(),Chrome 120.0.0.0,,,29-01-2024 00:49:45,29-01-2024 00:49:45,0.076s,PASSED
delay(3),Chrome 120.0.0.0,,,29-01-2024 00:49:45,29-01-2024 00:49:48,3.003s,PASSED
headerAfter = getWindowTitle(),Chrome 120.0.0.0,,,29-01-2024 00:49:48,29-01-2024 00:49:48,0.008s,PASSED
"verifyMatch(headerAfter, HomeTitle, false)",Chrome 120.0.0.0,,,29-01-2024 00:49:48,29-01-2024 00:49:48,0.002s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,29-01-2024 00:49:48,29-01-2024 00:49:48,0.240s,PASSED
