Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS003 - Age,Chrome 120.0.0.0,,,29-01-2024 00:48:25,29-01-2024 00:49:12,46.898s,PASSED
,,,,,,,
Test Cases/ESO/Age Valitadion/A001 - Invalid Age,Chrome 120.0.0.0,,,29-01-2024 00:48:26,29-01-2024 00:48:33,7.838s,PASSED
"callTestCase(findTestCase(""ESO/Age Valitadion/A000 - Age Validation""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,29-01-2024 00:48:26,29-01-2024 00:48:30,4.161s,PASSED
"sendKeys(findTestObject(""ESO/Page_Age_Verification/input_Age Verification_month""), helpers.getTodayDate.month())",Chrome 120.0.0.0,,,29-01-2024 00:48:30,29-01-2024 00:48:31,0.432s,PASSED
"sendKeys(findTestObject(""ESO/Page_Age_Verification/input_Age Verification_day""), helpers.getTodayDate.day())",Chrome 120.0.0.0,,,29-01-2024 00:48:31,29-01-2024 00:48:31,0.479s,PASSED
"sendKeys(findTestObject(""ESO/Page_Age_Verification/input_Age Verification_year""), helpers.getTodayDate.UnderYear())",Chrome 120.0.0.0,,,29-01-2024 00:48:31,29-01-2024 00:48:32,0.550s,PASSED
"click(findTestObject(""ESO/Page_Age_Verification/button_Submit""))",Chrome 120.0.0.0,,,29-01-2024 00:48:32,29-01-2024 00:48:33,1.210s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/ESO/Page_Age_Verification/h4_Access Denied""))",Chrome 120.0.0.0,,,29-01-2024 00:48:33,29-01-2024 00:48:33,0.572s,PASSED
,,,,,,,
Test Cases/ESO/Age Valitadion/A002 - Valid Age,Chrome 120.0.0.0,,,29-01-2024 00:48:33,29-01-2024 00:49:12,38.863s,PASSED
try,Chrome 120.0.0.0,,,29-01-2024 00:48:34,29-01-2024 00:49:09,35.783s,FAILED
catch (Exception BrowserNotOpenedException),Chrome 120.0.0.0,,,29-01-2024 00:49:09,29-01-2024 00:49:12,2.895s,PASSED
