Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validate Registos,Chrome 120.0.0.0,,,12-01-2024 22:24:55,12-01-2024 22:24:59,4.066s,PASSED
,,,,,,,
Test Cases/Musisys/Validate Home Screen,Chrome 120.0.0.0,,,12-01-2024 22:24:55,12-01-2024 22:24:58,2.780s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,12-01-2024 22:24:55,12-01-2024 22:24:57,1.855s,PASSED
"navigateToUrl(""http://localhost/website/"")",Chrome 120.0.0.0,,,12-01-2024 22:24:57,12-01-2024 22:24:57,0.087s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Musiys/Page_Gesto Musisys/Singer""))",Chrome 120.0.0.0,,,12-01-2024 22:24:57,12-01-2024 22:24:58,0.412s,PASSED
,,,,,,,
Test Cases/Musisys/Enter Registo,Chrome 120.0.0.0,,,12-01-2024 22:24:58,12-01-2024 22:24:59,1.094s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Musiys/Page_Gesto Musisys/button_Registar Edio""))",Chrome 120.0.0.0,,,12-01-2024 22:24:58,12-01-2024 22:24:58,0.317s,PASSED
"click(findTestObject(""Object Repository/Musiys/Page_Gesto Musisys/button_Registar Edio""))",Chrome 120.0.0.0,,,12-01-2024 22:24:58,12-01-2024 22:24:59,0.393s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Musiys/Page_MUSISYS - New Edition/h1_Registar nova Edio""))",Chrome 120.0.0.0,,,12-01-2024 22:24:59,12-01-2024 22:24:59,0.301s,PASSED
