Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validate Registos,,,,19-01-2024 00:56:34,19-01-2024 00:56:41,7.651s,FAILED
,,,,,,,
Test Cases/Musisys/Validate Home Screen,,,,19-01-2024 00:56:39,19-01-2024 00:56:41,1.405s,FAILED
"openBrowser("""")",,,,19-01-2024 00:56:39,19-01-2024 00:56:41,1.387s,FAILED
,,,,,,,
Test Cases/Musisys/Enter Registo,,,,19-01-2024 00:56:41,19-01-2024 00:56:41,0.067s,FAILED
"verifyElementClickable(findTestObject(""Object Repository/Musiys/Page_Gesto Musisys/button_Registar Edio""))",,,,19-01-2024 00:56:41,19-01-2024 00:56:41,0.050s,FAILED
