Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS002 - Forum,Chrome 121.0.0.0,,,05-02-2024 02:13:06,05-02-2024 02:13:12,6.103s,FAILED
,,,,,,,
Test Cases/ESO/Forum Validation/F002 - Forum Options,Chrome 121.0.0.0,,,05-02-2024 02:13:06,05-02-2024 02:13:12,5.919s,FAILED
"callTestCase(findTestCase(""ESO/Forum Validation/F001 - Enter Forum Page""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,05-02-2024 02:13:07,05-02-2024 02:13:12,4.732s,PASSED
index = 0,Chrome 121.0.0.0,,,05-02-2024 02:13:12,05-02-2024 02:13:12,0.001s,PASSED
while (index <= 2),Chrome 121.0.0.0,,,05-02-2024 02:13:12,05-02-2024 02:13:12,0.715s,FAILED
