Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS003 - Age,Chrome 120.0.0.0,,,29-01-2024 00:44:43,29-01-2024 00:45:41,57.698s,PASSED
,,,,,,,
Test Cases/ESO/Age Valitadion/A001 - Invalid Age,Chrome 120.0.0.0,,,29-01-2024 00:44:43,29-01-2024 00:44:54,10.995s,PASSED
"callTestCase(findTestCase(""ESO/Age Valitadion/A000 - Age Validation""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,29-01-2024 00:44:44,29-01-2024 00:44:51,7.227s,PASSED
"sendKeys(findTestObject(""ESO/Page_Age_Verification/input_Age Verification_month""), helpers.getTodayDate.month())",Chrome 120.0.0.0,,,29-01-2024 00:44:51,29-01-2024 00:44:51,0.424s,PASSED
"sendKeys(findTestObject(""ESO/Page_Age_Verification/input_Age Verification_day""), helpers.getTodayDate.day())",Chrome 120.0.0.0,,,29-01-2024 00:44:51,29-01-2024 00:44:52,0.553s,PASSED
"sendKeys(findTestObject(""ESO/Page_Age_Verification/input_Age Verification_year""), helpers.getTodayDate.UnderYear())",Chrome 120.0.0.0,,,29-01-2024 00:44:52,29-01-2024 00:44:52,0.556s,PASSED
"click(findTestObject(""ESO/Page_Age_Verification/button_Submit""))",Chrome 120.0.0.0,,,29-01-2024 00:44:52,29-01-2024 00:44:54,1.238s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/ESO/Page_Age_Verification/h4_Access Denied""))",Chrome 120.0.0.0,,,29-01-2024 00:44:54,29-01-2024 00:44:54,0.557s,PASSED
,,,,,,,
Test Cases/ESO/Age Valitadion/A002 - Valid Age,Chrome 120.0.0.0,,,29-01-2024 00:44:54,29-01-2024 00:45:41,46.518s,PASSED
try,Chrome 120.0.0.0,,,29-01-2024 00:44:54,29-01-2024 00:45:38,43.635s,FAILED
catch (Exception BrowserNotOpenedException),Chrome 120.0.0.0,,,29-01-2024 00:45:38,29-01-2024 00:45:41,2.723s,PASSED
