Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
helpers.Misc.OpenSearchBar(),Chrome 120.0.0.0,,,31-01-2024 22:48:56,31-01-2024 22:48:58,1.382s,PASSED
delay(1),Chrome 120.0.0.0,,,31-01-2024 22:48:58,31-01-2024 22:48:59,1.002s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/Search Bar/inputsearchBox""), Class_Name)",Chrome 120.0.0.0,,,31-01-2024 22:48:59,31-01-2024 22:48:59,0.565s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/Search Bar/inputsearchBox""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,31-01-2024 22:48:59,31-01-2024 22:49:00,0.502s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,31-01-2024 22:49:00,31-01-2024 22:49:00,0.204s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD001 - Class Help,Chrome 120.0.0.0,,,31-01-2024 22:49:00,31-01-2024 22:49:10,10.339s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:49:00,31-01-2024 22:49:06,6.469s,PASSED
helpers.Misc.OpenSearchBar(),Chrome 120.0.0.0,,,31-01-2024 22:49:06,31-01-2024 22:49:08,1.352s,PASSED
delay(1),Chrome 120.0.0.0,,,31-01-2024 22:49:08,31-01-2024 22:49:09,1.010s,PASSED
"setText(findTestObject(""Object Repository/ESO/Page_Home/Search Bar/inputsearchBox""), Class_Name)",Chrome 120.0.0.0,,,31-01-2024 22:49:09,31-01-2024 22:49:10,0.782s,PASSED
"sendKeys(findTestObject(""Object Repository/ESO/Page_Home/Search Bar/inputsearchBox""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,31-01-2024 22:49:10,31-01-2024 22:49:10,0.496s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,31-01-2024 22:49:10,31-01-2024 22:49:10,0.219s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD002 - Meet the Characters,Chrome 120.0.0.0,Test Case to search for characters in game,Data-Driven,31-01-2024 22:49:10,31-01-2024 22:49:29,18.499s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Companions""), false)",Chrome 120.0.0.0,,,31-01-2024 22:49:10,31-01-2024 22:49:11,0.416s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:49:11,31-01-2024 22:49:17,6.711s,PASSED
helpers.Misc.OpenSearchBar(),Chrome 120.0.0.0,,,31-01-2024 22:49:17,31-01-2024 22:49:19,1.163s,PASSED
"setText(findTestObject(""ESO/Page_Home/Search Bar/inputsearchBox""), Character_Name)",Chrome 120.0.0.0,,,31-01-2024 22:49:19,31-01-2024 22:49:19,0.538s,PASSED
delay(1),Chrome 120.0.0.0,,,31-01-2024 22:49:19,31-01-2024 22:49:20,1.014s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Search Bar/div_Character suggestion""), 0)",Chrome 120.0.0.0,,,31-01-2024 22:49:20,31-01-2024 22:49:20,0.269s,PASSED
"click(findTestObject(""ESO/Page_Home/Search Bar/a_Character suggestion""))",Chrome 120.0.0.0,,,31-01-2024 22:49:20,31-01-2024 22:49:23,2.653s,PASSED
"callTestCase(findTestCase(""ESO/Age Valitadion/A002 - Valid Age""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:49:23,31-01-2024 22:49:28,4.723s,PASSED
"verifyTextPresent(Character_Name.toUpperCase(), false)",Chrome 120.0.0.0,,,31-01-2024 22:49:28,31-01-2024 22:49:28,0.370s,PASSED
"verifyTextPresent(""MEET THE CHARACTER"", false)",Chrome 120.0.0.0,,,31-01-2024 22:49:28,31-01-2024 22:49:29,0.349s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,31-01-2024 22:49:29,31-01-2024 22:49:29,0.224s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD002 - Meet the Characters,Chrome 120.0.0.0,Test Case to search for characters in game,Data-Driven,31-01-2024 22:49:29,31-01-2024 22:49:47,17.995s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Companions""), false)",Chrome 120.0.0.0,,,31-01-2024 22:49:29,31-01-2024 22:49:29,0.017s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:49:29,31-01-2024 22:49:35,6.325s,PASSED
helpers.Misc.OpenSearchBar(),Chrome 120.0.0.0,,,31-01-2024 22:49:35,31-01-2024 22:49:36,1.166s,PASSED
"setText(findTestObject(""ESO/Page_Home/Search Bar/inputsearchBox""), Character_Name)",Chrome 120.0.0.0,,,31-01-2024 22:49:36,31-01-2024 22:49:37,0.675s,PASSED
delay(1),Chrome 120.0.0.0,,,31-01-2024 22:49:37,31-01-2024 22:49:38,1.013s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Search Bar/div_Character suggestion""), 0)",Chrome 120.0.0.0,,,31-01-2024 22:49:38,31-01-2024 22:49:38,0.265s,PASSED
